customer_id,signup_date,country,region,segment
C1000,2022-09-05,Singapore,APAC,Consumer
C1001,2022-06-09,France,Europe,Small Business
C1002,2023-01-15,India,APAC,Consumer
C1003,2023-04-29,Australia,APAC,Consumer
C1004,2022-07-10,United States,North America,Consumer
C1005,2023-07-14,Argentina,LATAM,Small Business
C1006,2023-04-12,Singapore,APAC,Enterprise
C1007,2022-05-02,Singapore,APAC,Small Business
C1008,2023-11-17,United States,North America,Consumer
C1009,2022-02-02,France,Europe,Consumer
C1010,2023-04-23,Germany,Europe,Consumer
C1011,2022-11-17,Brazil,LATAM,Consumer
C1012,2023-04-23,Japan,APAC,Consumer
C1013,2023-07-20,India,APAC,Consumer
C1014,2023-05-17,France,Europe,Small Business
C1015,2023-04-21,Mexico,North America,Consumer
C1016,2023-09-06,Italy,Europe,Small Business
C1017,2023-05-28,United States,North America,Consumer
C1018,2023-08-18,India,APAC,Consumer
C1019,2022-10-22,Japan,APAC,Consumer
C1020,2022-05-29,Singapore,APAC,Consumer
C1021,2022-06-21,Germany,Europe,Consumer
C1022,2023-03-23,Argentina,LATAM,Consumer
C1023,2023-01-24,Brazil,LATAM,Consumer
C1024,2022-02-26,Singapore,APAC,Consumer
C1025,2022-05-30,Mexico,North America,Consumer
C1026,2023-12-08,France,Europe,Small Business
C1027,2023-06-15,United States,North America,Small Business
C1028,2023-07-06,Canada,North America,Consumer
C1029,2022-05-24,Australia,APAC,Consumer
C1030,2022-02-16,Singapore,APAC,Consumer
C1031,2022-08-01,Argentina,LATAM,Consumer
C1032,2023-09-18,Germany,Europe,Consumer
C1033,2023-01-05,Germany,Europe,Consumer
C1034,2023-07-27,France,Europe,Consumer
C1035,2022-12-22,Mexico,North America,Enterprise
C1036,2022-12-24,United States,North America,Consumer
C1037,2023-03-15,France,Europe,Small Business
C1038,2023-12-02,Mexico,North America,Consumer
C1039,2022-11-16,Japan,APAC,Consumer
C1040,2023-03-11,France,Europe,Enterprise
C1041,2023-11-03,India,APAC,Consumer
C1042,2022-09-29,Australia,APAC,Consumer
C1043,2023-09-06,United Kingdom,Europe,Enterprise
C1044,2023-01-26,India,APAC,Consumer
C1045,2023-10-04,India,APAC,Consumer
C1046,2022-12-08,Germany,Europe,Consumer
C1047,2023-04-05,United Kingdom,Europe,Consumer
C1048,2022-08-24,Australia,APAC,Consumer
C1049,2023-04-09,Canada,North America,Consumer
C1050,2022-08-27,Mexico,North America,Small Business
C1051,2023-03-21,United States,North America,Consumer
C1052,2023-07-30,Singapore,APAC,Consumer
C1053,2022-11-14,Japan,APAC,Consumer
C1054,2022-11-10,Australia,APAC,Consumer
C1055,2022-08-24,Singapore,APAC,Enterprise
C1056,2023-06-18,France,Europe,Consumer
C1057,2023-03-09,Italy,Europe,Consumer
C1058,2023-01-13,Canada,North America,Small Business
C1059,2022-01-19,United States,North America,Small Business
C1060,2022-03-22,Japan,APAC,Enterprise
C1061,2022-01-06,France,Europe,Consumer
C1062,2023-09-13,Italy,Europe,Consumer
C1063,2023-09-14,Singapore,APAC,Consumer
C1064,2022-02-19,Japan,APAC,Consumer
C1065,2022-02-03,Italy,Europe,Small Business
C1066,2023-07-25,Italy,Europe,Consumer
C1067,2023-01-19,United Kingdom,Europe,Consumer
C1068,2022-08-14,United States,North America,Enterprise
C1069,2023-03-25,France,Europe,Enterprise
C1070,2022-06-22,Mexico,North America,Consumer
C1071,2022-05-25,Germany,Europe,Enterprise
C1072,2022-09-26,India,APAC,Consumer
C1073,2023-10-16,United Kingdom,Europe,Consumer
C1074,2023-07-15,United States,North America,Consumer
C1075,2022-05-19,United Kingdom,Europe,Enterprise
C1076,2023-02-15,United Kingdom,Europe,Enterprise
C1077,2023-10-08,Japan,APAC,Consumer
C1078,2023-11-26,Italy,Europe,Consumer
C1079,2023-07-11,Singapore,APAC,Consumer
C1080,2022-04-05,Japan,APAC,Consumer
C1081,2022-06-25,Germany,Europe,Small Business
C1082,2022-06-09,India,APAC,Consumer
C1083,2022-04-21,Canada,North America,Small Business
C1084,2022-05-08,United States,North America,Consumer
C1085,2022-08-19,United States,North America,Consumer
C1086,2023-02-10,Australia,APAC,Consumer
C1087,2022-10-18,France,Europe,Enterprise
C1088,2022-11-04,Canada,North America,Consumer
C1089,2022-06-29,Spain,Europe,Consumer
C1090,2022-04-21,Canada,North America,Consumer
C1091,2023-12-31,Australia,APAC,Enterprise
C1092,2023-03-14,France,Europe,Small Business
C1093,2022-06-17,Germany,Europe,Small Business
C1094,2023-08-15,United Kingdom,Europe,Consumer
