date,channel,purchases,sessions,add_to_cart,checkout
2023-01-01,Marketplace,8,191,52,24
2023-01-01,Mobile App,14,313,75,43
2023-01-01,Retail Store,2,51,11,5
2023-01-01,Web,16,426,98,57
2023-01-02,Marketplace,5,98,26,16
2023-01-02,Mobile App,9,170,33,17
2023-01-02,Retail Store,1,26,5,3
2023-01-02,Web,14,366,82,45
2023-01-03,Marketplace,9,192,36,21
2023-01-03,Mobile App,11,224,59,32
2023-01-03,Retail Store,2,36,8,4
2023-01-03,Web,17,396,79,42
2023-01-04,Marketplace,8,194,44,22
2023-01-04,Mobile App,3,71,13,7
2023-01-04,Web,11,247,49,31
2023-01-05,Marketplace,8,151,27,14
2023-01-05,Mobile App,15,349,64,36
2023-01-05,Retail Store,3,64,14,6
2023-01-05,Web,17,426,110,61
2023-01-06,Marketplace,7,195,40,20
2023-01-06,Mobile App,12,288,72,46
2023-01-06,Retail Store,2,46,9,5
2023-01-06,Web,7,147,37,21
2023-01-07,Marketplace,4,78,20,11
2023-01-07,Mobile App,14,276,51,28
2023-01-07,Web,12,230,59,27
2023-01-08,Marketplace,9,219,57,25
2023-01-08,Mobile App,8,215,57,32
2023-01-08,Retail Store,1,20,3,1
2023-01-08,Web,18,381,100,49
2023-01-09,Marketplace,7,182,37,22
2023-01-09,Mobile App,11,293,69,32
2023-01-09,Retail Store,1,23,4,2
2023-01-09,Web,18,410,103,57
2023-01-10,Marketplace,6,115,23,11
2023-01-10,Mobile App,10,261,51,32
2023-01-10,Retail Store,1,20,4,2
2023-01-10,Web,13,307,60,38
2023-01-11,Marketplace,11,280,50,25
2023-01-11,Mobile App,7,181,41,23
2023-01-11,Retail Store,3,68,17,10
2023-01-11,Web,14,282,70,38
2023-01-12,Marketplace,9,184,38,23
2023-01-12,Mobile App,13,259,53,27
2023-01-12,Retail Store,2,46,11,6
2023-01-12,Web,15,344,88,50
2023-01-13,Marketplace,7,179,47,27
2023-01-13,Mobile App,12,261,55,30
2023-01-13,Retail Store,3,71,15,9
2023-01-13,Web,17,362,71,42
2023-01-14,Marketplace,7,153,41,23
2023-01-14,Mobile App,7,166,38,17
2023-01-14,Retail Store,1,25,5,2
2023-01-14,Web,15,364,87,42
2023-01-15,Marketplace,6,145,36,16
2023-01-15,Mobile App,7,188,48,29
2023-01-15,Retail Store,2,36,9,4
2023-01-15,Web,13,236,44,28
2023-01-16,Marketplace,10,249,68,40
2023-01-16,Mobile App,10,201,38,17
2023-01-16,Retail Store,3,78,16,7
2023-01-16,Web,16,397,80,48
2023-01-17,Marketplace,10,229,48,26
2023-01-17,Mobile App,11,243,46,21
2023-01-17,Web,21,424,77,40
2023-01-18,Marketplace,5,109,26,15
2023-01-18,Mobile App,10,200,40,21
2023-01-18,Retail Store,5,108,20,11
2023-01-18,Web,20,414,102,49
2023-01-19,Marketplace,9,249,47,24
2023-01-19,Mobile App,10,242,64,31
2023-01-19,Retail Store,3,74,20,10
2023-01-19,Web,12,225,51,25
2023-01-20,Marketplace,8,193,35,21
2023-01-20,Mobile App,11,265,65,29
2023-01-20,Web,18,388,105,67
2023-01-21,Marketplace,4,98,17,8
2023-01-21,Mobile App,10,183,40,23
2023-01-21,Retail Store,1,26,4,2
2023-01-21,Web,11,233,42,25
2023-01-22,Marketplace,9,194,53,33
2023-01-22,Mobile App,11,270,66,37
2023-01-22,Web,20,428,78,39
2023-01-23,Marketplace,7,159,30,15
2023-01-23,Mobile App,8,221,44,23
2023-01-23,Web,15,322,72,38
2023-01-24,Marketplace,10,222,45,27
2023-01-24,Mobile App,12,232,49,30
2023-01-24,Web,11,302,64,36
2023-01-25,Marketplace,4,99,26,13
2023-01-25,Mobile App,15,336,78,43
2023-01-25,Web,14,329,68,40
2023-01-26,Marketplace,7,176,39,24
