order_item_id,order_id,product_id,quantity,unit_price,unit_cost,gross_revenue,cost,gross_profit
1,O100000,P1020,3,319.88,175.93,959.64,527.79,431.85
2,O100000,P1010,3,1030.0,566.5,3090.0,1699.5,1390.5
3,O100000,P1015,2,773.78,425.58,1547.56,851.16,696.4
4,O100000,P1016,2,1126.22,619.42,2252.44,1238.84,1013.6
5,O100000,P1001,1,1109.44,610.19,1109.44,610.19,499.25
6,O100001,P1005,4,873.84,480.61,3495.36,1922.44,1572.92
7,O100001,P1005,4,873.84,480.61,3495.36,1922.44,1572.92
8,O100001,P1015,3,773.78,425.58,2321.34,1276.74,1044.6
9,O100001,P1007,1,1062.3,584.26,1062.3,584.26,478.04
10,O100002,P1018,1,504.53,277.49,504.53,277.49,227.04
11,O100002,P1002,3,138.93,76.41,416.79,229.23,187.56
12,O100002,P1005,3,873.84,480.61,2621.52,1441.83,1179.69
13,O100003,P1010,4,1030.0,566.5,4120.0,2266.0,1854.0
14,O100003,P1017,3,779.04,428.47,2337.12,1285.41,1051.71
15,O100004,P1015,1,773.78,425.58,773.78,425.58,348.2
16,O100004,P1013,4,401.79,220.98,1607.16,883.92,723.24
17,O100005,P1010,4,1030.0,566.5,4120.0,2266.0,1854.0
18,O100005,P1010,3,1030.0,566.5,3090.0,1699.5,1390.5
19,O100005,P1010,1,1030.0,566.5,1030.0,566.5,463.5
20,O100005,P1014,4,1059.3,582.62,4237.2,2330.48,1906.72
21,O100005,P1012,4,324.49,178.47,1297.96,713.88,584.08
22,O100006,P1015,1,773.78,425.58,773.78,425.58,348.2
23,O100006,P1003,3,379.22,208.57,1137.66,625.71,511.95
24,O100006,P1013,2,401.79,220.98,803.58,441.96,361.62
25,O100007,P1019,3,173.42,95.38,520.26,286.14,234.12
26,O100007,P1013,3,401.79,220.98,1205.37,662.94,542.43
27,O100007,P1015,3,773.78,425.58,2321.34,1276.74,1044.6
28,O100007,P1009,1,1284.69,706.58,1284.69,706.58,578.11
29,O100008,P1015,2,773.78,425.58,1547.56,851.16,696.4
