order_id,order_date,customer_id,channel,status
O100000,2024-12-11,C1375,Marketplace,Completed
O100001,2024-02-07,C2322,Mobile App,Completed
O100002,2024-01-05,C5946,Web,Completed
O100003,2024-11-16,C3373,Marketplace,Completed
O100004,2024-05-20,C4877,Mobile App,Completed
O100005,2023-06-24,C2284,Retail Store,Completed
O100006,2023-07-25,C5137,Web,Completed
O100007,2024-05-01,C1797,Web,Completed
O100008,2023-01-02,C3143,Web,Completed
O100009,2023-04-22,C2945,Marketplace,Completed
O100010,2023-02-24,C5590,Mobile App,Completed
O100011,2024-06-05,C1015,Web,Completed
O100012,2023-11-19,C5792,Web,Completed
O100013,2023-05-12,C5449,Mobile App,Completed
O100014,2024-02-21,C2569,Mobile App,Completed
O100015,2023-02-08,C3249,Web,Completed
O100016,2023-12-11,C4726,Marketplace,Completed
O100017,2024-05-09,C1617,Marketplace,Completed
O100018,2024-01-28,C2360,Mobile App,Completed
O100019,2024-11-27,C3334,Web,Completed
O100020,2023-06-21,C5041,Mobile App,Completed
O100021,2023-08-01,C5352,Mobile App,Completed
O100022,2023-03-29,C3501,Marketplace,Completed
O100023,2023-05-29,C5786,Web,Completed
O100024,2024-09-15,C5836,Marketplace,Completed
O100025,2023-08-01,C1008,Mobile App,Completed
O100026,2024-04-29,C3895,Web,Completed
O100027,2023-05-19,C5873,Marketplace,Completed
O100028,2023-08-24,C2322,Mobile App,Completed
O100029,2024-02-08,C2618,Web,Completed
O100030,2023-03-02,C2569,Mobile App,Completed
O100031,2023-08-29,C4534,Mobile App,Completed
O100032,2023-11-11,C3151,Web,Completed
O100033,2023-11-01,C4763,Web,Returned
O100034,2024-07-07,C2806,Marketplace,Completed
O100035,2023-11-22,C5532,Marketplace,Completed
O100036,2023-06-08,C2295,Marketplace,Completed
O100037,2023-10-22,C3048,Mobile App,Completed
O100038,2023-03-01,C5283,Web,Completed
O100039,2024-05-04,C4831,Mobile App,Completed
O100040,2024-01-25,C2864,Marketplace,Completed
O100041,2024-12-10,C4426,Retail Store,Completed
O100042,2024-04-03,C3283,Mobile App,Completed
O100043,2024-02-24,C2626,Web,Completed
O100044,2024-01-05,C2462,Mobile App,Completed
O100045,2023-12-09,C5130,Mobile App,Completed
