customer_id,signup_date,country,acq_channel,plan,monthly_price
U13578,2022-01-01,JP,Organic,Pro,49.0
U13934,2022-01-01,US,Email,Pro,49.0
U10621,2022-01-03,US,Paid Social,Starter,19.0
U14336,2022-01-03,US,Affiliate,Business,199.0
U12225,2022-01-03,BR,Organic,Starter,19.0
U13224,2022-01-03,CA,Organic,Business,199.0
U12605,2022-01-04,US,Referral,Starter,19.0
U12873,2022-01-04,CA,Organic,Pro,49.0
U15154,2022-01-04,US,Referral,Pro,49.0
U12129,2022-01-04,US,Paid Search,Business,199.0
U10892,2022-01-04,DE,Email,Starter,19.0
U10270,2022-01-04,BR,Email,Starter,19.0
U13836,2022-01-05,CA,Paid Search,Starter,19.0
U11231,2022-01-05,US,Paid Search,Business,199.0
U10056,2022-01-05,DE,Email,Starter,19.0
U11699,2022-01-05,DE,Paid Search,Pro,49.0
U10176,2022-01-06,UK,Organic,Pro,49.0
U12632,2022-01-07,DE,Organic,Starter,19.0
U10969,2022-01-07,AU,Paid Social,Pro,49.0
U11556,2022-01-07,US,Organic,Starter,19.0
U14318,2022-01-07,US,Email,Starter,19.0
U12510,2022-01-08,FR,Affiliate,Starter,19.0
U11830,2022-01-09,US,Referral,Business,199.0
U11931,2022-01-09,DE,Email,Starter,19.0
U11313,2022-01-09,CA,Email,Starter,19.0
U12130,2022-01-10,DE,Paid Search,Starter,19.0
U13246,2022-01-11,JP,Paid Search,Pro,49.0
U13021,2022-01-11,US,Affiliate,Starter,19.0
U11248,2022-01-11,UK,Affiliate,Pro,49.0
U13191,2022-01-11,DE,Paid Search,Starter,19.0
U15459,2022-01-11,IN,Paid Social,Starter,19.0
U15425,2022-01-12,CA,Paid Search,Starter,19.0
U15511,2022-01-14,US,Paid Search,Pro,49.0
U12465,2022-01-15,US,Affiliate,Starter,19.0
U14412,2022-01-15,US,Referral,Starter,19.0
U10811,2022-01-15,FR,Affiliate,Pro,49.0
U10185,2022-01-16,DE,Paid Search,Pro,49.0
U10107,2022-01-16,CA,Paid Social,Starter,19.0
U14121,2022-01-16,US,Paid Search,Pro,49.0
U13543,2022-01-17,US,Email,Pro,49.0
U10817,2022-01-17,DE,Referral,Business,199.0
U13579,2022-01-17,JP,Organic,Pro,49.0
U15490,2022-01-17,DE,Referral,Pro,49.0
U13487,2022-01-18,US,Organic,Starter,19.0
U14359,2022-01-19,BR,Referral,Starter,19.0
U14811,2022-01-19,BR,Paid Search,Starter,19.0
U12735,2022-01-19,JP,Organic,Business,199.0
U12356,2022-01-20,US,Email,Business,199.0
U13846,2022-01-20,BR,Referral,Starter,19.0
U14864,2022-01-20,CA,Referral,Starter,19.0
U14488,2022-01-21,CA,Paid Search,Starter,19.0
U13285,2022-01-21,US,Paid Search,Business,199.0
U11374,2022-01-21,UK,Paid Search,Enterprise,599.0
U13331,2022-01-22,DE,Paid Social,Pro,49.0
U13938,2022-01-22,JP,Organic,Starter,19.0
U13678,2022-01-22,US,Organic,Starter,19.0
U10415,2022-01-22,UK,Affiliate,Pro,49.0
U12288,2022-01-22,DE,Organic,Starter,19.0
U13005,2022-01-22,UK,Organic,Starter,19.0
U10466,2022-01-23,CA,Paid Search,Pro,49.0
U10289,2022-01-23,UK,Paid Social,Starter,19.0
U11575,2022-01-23,US,Organic,Pro,49.0
U10303,2022-01-24,UK,Referral,Starter,19.0
U13080,2022-01-24,DE,Paid Social,Starter,19.0
U13898,2022-01-25,CA,Organic,Starter,19.0
U11950,2022-01-25,UK,Email,Starter,19.0
U10822,2022-01-27,US,Paid Search,Business,199.0
U15110,2022-01-27,US,Affiliate,Starter,19.0
U14165,2022-01-27,IN,Paid Search,Pro,49.0
U11278,2022-01-28,IN,Paid Search,Starter,19.0
U14921,2022-01-28,ES,Email,Starter,19.0
U12048,2022-01-29,JP,Paid Social,Starter,19.0
U15374,2022-01-30,IN,Paid Search,Starter,19.0
U10361,2022-01-30,UK,Paid Social,Business,199.0
U15524,2022-01-30,IN,Paid Social,Starter,19.0
U12830,2022-01-31,UK,Affiliate,Starter,19.0
U14876,2022-01-31,US,Affiliate,Starter,19.0
U11735,2022-01-31,US,Paid Search,Pro,49.0
U13697,2022-01-31,AU,Organic,Starter,19.0
U11471,2022-02-01,AU,Affiliate,Pro,49.0
U15092,2022-02-01,CA,Paid Social,Starter,19.0
U14337,2022-02-02,US,Paid Social,Business,199.0
U10152,2022-02-03,BR,Email,Business,199.0
U13773,2022-02-03,UK,Paid Search,Business,199.0
U10288,2022-02-03,CA,Organic,Starter,19.0
U15385,2022-02-03,US,Organic,Starter,19.0
U11646,2022-02-04,FR,Organic,Starter,19.0
U13693,2022-02-05,US,Paid Search,Pro,49.0
U14552,2022-02-05,JP,Organic,Pro,49.0
U13803,2022-02-05,AU,Paid Social,Starter,19.0
U10850,2022-02-05,US,Organic,Pro,49.0
U10508,2022-02-05,US,Organic,Pro,49.0
U15406,2022-02-05,AU,Organic,Starter,19.0
U12917,2022-02-05,JP,Paid Social,Starter,19.0
U11704,2022-02-06,US,Organic,Starter,19.0
U11584,2022-02-06,US,Organic,Starter,19.0
U12115,2022-02-06,US,Referral,Starter,19.0
U14030,2022-02-07,CA,Organic,Pro,49.0
U13973,2022-02-07,AU,Affiliate,Pro,49.0
U11233,2022-02-08,US,Organic,Business,199.0
U14827,2022-02-08,JP,Paid Search,Starter,19.0
U14360,2022-02-08,JP,Paid Search,Pro,49.0
U13055,2022-02-08,UK,Paid Search,Pro,49.0
U12003,2022-02-08,US,Paid Search,Starter,19.0
U13451,2022-02-09,BR,Paid Search,Pro,49.0
U13510,2022-02-09,US,Affiliate,Pro,49.0
U10647,2022-02-10,BR,Organic,Pro,49.0
U14058,2022-02-10,CA,Referral,Pro,49.0
U12709,2022-02-10,AU,Paid Search,Starter,19.0
U14372,2022-02-10,US,Paid Social,Starter,19.0
U10140,2022-02-11,CA,Organic,Pro,49.0
U12606,2022-02-11,AU,Email,Pro,49.0
U12539,2022-02-11,AU,Paid Search,Starter,19.0
U14350,2022-02-11,UK,Paid Search,Starter,19.0
U10674,2022-02-11,US,Paid Social,Enterprise,599.0
U15277,2022-02-11,CA,Paid Search,Pro,49.0
U12055,2022-02-12,IN,Paid Search,Starter,19.0
U14709,2022-02-12,FR,Organic,Pro,49.0
U11944,2022-02-12,US,Paid Search,Starter,19.0
U14013,2022-02-13,BR,Paid Search,Pro,49.0
U10314,2022-02-13,FR,Referral,Starter,19.0
U14701,2022-02-14,CA,Paid Search,Pro,49.0
U12918,2022-02-14,CA,Email,Starter,19.0
U15371,2022-02-15,US,Paid Search,Starter,19.0
U14310,2022-02-15,CA,Organic,Business,199.0
U10987,2022-02-15,JP,Organic,Pro,49.0
U14090,2022-02-15,CA,Paid Social,Starter,19.0
U10069,2022-02-16,US,Paid Social,Starter,19.0
U14471,2022-02-16,IN,Paid Search,Pro,49.0
U10628,2022-02-17,JP,Paid Search,Starter,19.0
U14107,2022-02-17,US,Affiliate,Starter,19.0
U13666,2022-02-18,US,Organic,Pro,49.0
U15091,2022-02-18,US,Affiliate,Starter,19.0
U12551,2022-02-19,FR,Paid Search,Pro,49.0
U10846,2022-02-19,US,Paid Search,Starter,19.0
U11757,2022-02-20,DE,Paid Search,Pro,49.0
U13228,2022-02-20,FR,Paid Social,Starter,19.0
U14370,2022-02-20,US,Organic,Pro,49.0
U11330,2022-02-20,UK,Referral,Starter,19.0
U12939,2022-02-20,US,Paid Search,Pro,49.0
U12221,2022-02-20,UK,Organic,Starter,19.0
U11768,2022-02-20,UK,Organic,Starter,19.0
U12375,2022-02-21,ES,Paid Social,Starter,19.0
U10286,2022-02-21,US,Organic,Pro,49.0
U11128,2022-02-21,AU,Paid Search,Starter,19.0
U14544,2022-02-22,UK,Paid Search,Starter,19.0
U14475,2022-02-23,IN,Paid Search,Business,199.0
U10897,2022-02-23,IN,Paid Search,Starter,19.0
U10128,2022-02-23,ES,Affiliate,Pro,49.0
U10838,2022-02-24,UK,Organic,Pro,49.0
U13086,2022-02-24,US,Referral,Starter,19.0
U12617,2022-02-24,US,Paid Search,Starter,19.0
U11433,2022-02-24,ES,Paid Social,Starter,19.0
U11544,2022-02-24,FR,Paid Search,Pro,49.0
U10246,2022-02-25,CA,Organic,Starter,19.0
U13664,2022-02-25,FR,Organic,Pro,49.0
U12404,2022-02-25,ES,Organic,Starter,19.0
U15456,2022-02-25,JP,Paid Social,Starter,19.0
U15567,2022-02-25,UK,Referral,Pro,49.0
U14040,2022-02-26,US,Organic,Pro,49.0
U14019,2022-02-26,JP,Organic,Starter,19.0
U15484,2022-02-26,DE,Organic,Starter,19.0
U10346,2022-02-26,US,Referral,Starter,19.0
U14110,2022-02-27,BR,Organic,Pro,49.0
U10941,2022-02-27,CA,Paid Search,Starter,19.0
U13932,2022-02-27,US,Organic,Pro,49.0
U12066,2022-02-27,CA,Email,Pro,49.0
U14319,2022-02-28,CA,Affiliate,Pro,49.0
U11629,2022-02-28,AU,Referral,Pro,49.0
U11401,2022-03-01,DE,Paid Search,Starter,19.0
U11334,2022-03-01,ES,Paid Search,Starter,19.0
U10794,2022-03-01,DE,Organic,Business,199.0
U14437,2022-03-01,US,Organic,Business,199.0
U15027,2022-03-02,FR,Organic,Starter,19.0
U13835,2022-03-02,UK,Affiliate,Business,199.0
U13815,2022-03-03,JP,Organic,Starter,19.0
U14822,2022-03-03,UK,Organic,Enterprise,599.0
U12991,2022-03-03,IN,Referral,Pro,49.0
U13474,2022-03-03,US,Affiliate,Starter,19.0
U14023,2022-03-04,IN,Paid Search,Enterprise,599.0
U11870,2022-03-04,IN,Paid Search,Business,199.0
U12367,2022-03-04,IN,Paid Social,Business,199.0
U12409,2022-03-04,BR,Organic,Starter,19.0
U15193,2022-03-04,CA,Paid Search,Starter,19.0
U11368,2022-03-04,UK,Paid Social,Starter,19.0
U13813,2022-03-05,US,Organic,Starter,19.0
U14692,2022-03-05,US,Paid Social,Pro,49.0
U10081,2022-03-06,IN,Paid Search,Pro,49.0
U11675,2022-03-06,US,Paid Search,Business,199.0
U12674,2022-03-07,FR,Organic,Pro,49.0
U12611,2022-03-07,CA,Referral,Starter,19.0
U12668,2022-03-07,IN,Referral,Starter,19.0
U11175,2022-03-08,DE,Organic,Business,199.0
U10133,2022-03-08,FR,Affiliate,Starter,19.0
U15401,2022-03-09,AU,Organic,Business,199.0
U10267,2022-03-09,JP,Paid Social,Starter,19.0
U10689,2022-03-09,DE,Organic,Business,199.0
U12553,2022-03-09,FR,Paid Social,Starter,19.0
U13222,2022-03-10,US,Organic,Starter,19.0
U11649,2022-03-11,US,Referral,Pro,49.0
U13471,2022-03-11,JP,Paid Search,Pro,49.0
U10948,2022-03-11,US,Paid Search,Pro,49.0
U12459,2022-03-11,UK,Paid Social,Pro,49.0
U15158,2022-03-12,UK,Paid Social,Pro,49.0
U12528,2022-03-12,BR,Referral,Starter,19.0
U11429,2022-03-12,US,Paid Search,Starter,19.0
