transaction_id,customer_id,transaction_date,plan,amount,type
1,U13578,2022-01-01,Pro,49.0,subscription
2,U13578,2022-02-01,Pro,49.0,subscription
3,U13578,2022-03-01,Pro,49.0,subscription
4,U13934,2022-01-01,Pro,49.0,subscription
5,U10621,2022-01-03,Starter,19.0,subscription
6,U10621,2022-02-03,Starter,19.0,subscription
7,U10621,2022-03-03,Starter,19.0,subscription
8,U10621,2022-04-03,Starter,19.0,subscription
9,U10621,2022-05-03,Starter,19.0,subscription
10,U10621,2022-06-03,Starter,19.0,subscription
11,U10621,2022-07-03,Starter,19.0,subscription
12,U10621,2022-08-03,Starter,19.0,subscription
13,U10621,2022-09-03,Starter,19.0,subscription
14,U10621,2022-10-03,Starter,19.0,subscription
15,U10621,2022-11-03,Starter,19.0,subscription
16,U10621,2022-12-03,Starter,19.0,subscription
17,U10621,2023-01-03,Starter,19.0,subscription
18,U10621,2023-02-03,Starter,19.0,subscription
19,U10621,2023-03-03,Starter,19.0,subscription
20,U14336,2022-01-03,Business,199.0,subscription
21,U14336,2022-02-03,Business,199.0,subscription
22,U14336,2022-03-03,Business,199.0,subscription
23,U14336,2022-04-03,Business,199.0,subscription
24,U14336,2022-05-03,Business,199.0,subscription
25,U14336,2022-06-03,Business,199.0,subscription
26,U14336,2022-07-03,Business,199.0,subscription
27,U14336,2022-08-03,Business,199.0,subscription
28,U14336,2022-09-03,Business,199.0,subscription
29,U14336,2022-10-03,Business,199.0,subscription
30,U14336,2022-11-03,Business,199.0,subscription
31,U14336,2022-12-03,Business,199.0,subscription
32,U14336,2023-01-03,Business,199.0,subscription
33,U14336,2023-02-03,Business,199.0,subscription
34,U14336,2023-03-03,Business,199.0,subscription
35,U14336,2023-04-03,Business,219.92,subscription+addon
36,U14336,2023-05-03,Business,199.0,subscription
37,U14336,2023-06-03,Business,199.0,subscription
38,U14336,2023-07-03,Business,199.0,subscription
39,U14336,2023-08-03,Business,199.0,subscription
40,U14336,2023-09-03,Business,314.26,subscription+addon
41,U14336,2023-10-03,Business,199.0,subscription
42,U14336,2023-11-03,Business,199.0,subscription
43,U14336,2023-12-03,Business,199.0,subscription
44,U14336,2024-01-03,Business,199.0,subscription
45,U14336,2024-02-03,Business,199.0,subscription
46,U14336,2024-03-03,Business,199.0,subscription
47,U14336,2024-04-03,Business,199.0,subscription
48,U14336,2024-05-03,Business,199.0,subscription
49,U14336,2024-06-03,Business,199.0,subscription
50,U14336,2024-07-03,Business,281.84,subscription+addon
51,U14336,2024-08-03,Business,199.0,subscription
52,U14336,2024-09-03,Business,199.0,subscription
53,U14336,2024-10-03,Business,199.0,subscription
54,U14336,2024-11-03,Business,199.0,subscription
55,U14336,2024-12-03,Business,199.0,subscription
56,U12225,2022-01-03,Starter,19.0,subscription
57,U12225,2022-02-03,Starter,19.0,subscription
58,U12225,2022-03-03,Starter,19.0,subscription
59,U12225,2022-04-03,Starter,19.0,subscription
60,U12225,2022-05-03,Starter,19.0,subscription
61,U12225,2022-06-03,Starter,19.0,subscription
62,U12225,2022-07-03,Starter,19.0,subscription
63,U12225,2022-08-03,Starter,19.0,subscription
64,U12225,2022-09-03,Starter,19.0,subscription
65,U12225,2022-10-03,Starter,19.0,subscription
66,U12225,2022-11-03,Starter,19.0,subscription
67,U12225,2022-12-03,Starter,19.0,subscription
68,U13224,2022-01-03,Business,199.0,subscription
69,U13224,2022-02-03,Business,199.0,subscription
70,U13224,2022-03-03,Business,199.0,subscription
71,U13224,2022-04-03,Business,199.0,subscription
72,U13224,2022-05-03,Business,199.0,subscription
73,U13224,2022-06-03,Business,199.0,subscription
74,U13224,2022-07-03,Business,199.0,subscription
75,U13224,2022-08-03,Business,199.0,subscription
76,U13224,2022-09-03,Business,199.0,subscription
77,U13224,2022-10-03,Business,199.0,subscription
78,U13224,2022-11-03,Business,199.0,subscription
79,U13224,2022-12-03,Business,199.0,subscription
80,U13224,2023-01-03,Business,199.0,subscription
81,U13224,2023-02-03,Business,199.0,subscription
82,U13224,2023-03-03,Business,199.0,subscription
