shipment_id,order_id,order_date,ship_date,delivery_date,warehouse_id,warehouse_city,region,carrier,product_line,processing_days,transit_days,total_days,shipping_cost,status
S204334,O504334,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-07 14:33:01.736478682,WH-SIN,Singapore,APAC,UPS,Electronics,2.0,4.61,6.61,16.3,On-time
S200815,O500815,2024-01-01,2024-01-03 05:31:12.000000000,2024-01-06 01:28:34.454901578,WH-LON,London,Europe,FedEx,Sports,2.23,2.83,5.06,11.05,On-time
S227845,O527845,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-06 01:41:59.870070648,WH-LON,London,Europe,UPS,Sports,2.0,3.07,5.07,12.43,On-time
S216687,O516687,2024-01-01,2024-01-03 08:24:00.000000000,2024-01-06 08:39:20.454883822,WH-AMS,Amsterdam,Europe,FedEx,Beauty,2.35,3.01,5.36,9.34,On-time
S208505,O508505,2024-01-01,2024-01-02 03:50:24.000000000,2024-01-04 05:56:23.464250335,WH-NYC,New York,North America,DHL,Sports,1.16,2.09,3.25,9.95,On-time
S204682,O504682,2024-01-01,2024-01-04 13:35:27.002395325,2024-01-06 09:49:27.007172445,WH-NYC,New York,North America,UPS,Apparel,3.57,1.84,5.41,11.31,On-time
S203011,O503011,2024-01-01,2024-01-03 05:31:12.000000000,2024-01-09 08:30:23.980533791,WH-SIN,Singapore,APAC,Local,Sports,2.23,6.12,8.35,13.57,Late
S204051,O504051,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-05 21:23:58.333992106,WH-LON,London,Europe,USPS,Apparel,2.0,2.89,4.89,12.43,On-time
S229348,O529348,2024-01-01,2024-01-04 22:33:36.000000000,2024-01-08 03:59:33.861826982,WH-SAO,Sao Paulo,LATAM,DHL,Beauty,3.94,3.23,7.17,16.81,Late
S228786,O528786,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-06 18:55:14.557886719,WH-AMS,Amsterdam,Europe,USPS,Home,2.0,3.79,5.79,12.02,On-time
S202843,O502843,2024-01-01,2024-01-03 01:40:48.000000000,2024-01-04 08:21:37.153695127,WH-AMS,Amsterdam,Europe,DHL,Electronics,2.07,1.28,3.35,14.77,On-time
S217421,O517421,2024-01-01,2024-01-02 04:19:12.000000000,2024-01-03 18:51:21.050522614,WH-NYC,New York,North America,DHL,Sports,1.18,1.61,2.79,10.22,On-time
S205015,O505015,2024-01-01,2024-01-02 03:36:00.000000000,2024-01-04 16:27:13.370168969,WH-LAX,Los Angeles,North America,FedEx,Apparel,1.15,2.54,3.69,10.42,On-time
S206601,O506601,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-05 07:38:44.192459852,WH-LAX,Los Angeles,North America,USPS,Sports,1.0,3.32,4.32,12.42,On-time
S228351,O528351,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 18:51:18.909803102,WH-LAX,Los Angeles,North America,USPS,Beauty,1.0,2.79,3.79,12.02,On-time
S208589,O508589,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 10:14:10.886605857,WH-LAX,Los Angeles,North America,DHL,Home,1.0,2.43,3.43,12.36,On-time
S220498,O520498,2024-01-01,2024-01-02 12:00:00.000000000,2024-01-05 13:23:35.697090105,WH-NYC,New York,North America,USPS,Home,1.5,3.06,4.56,13.04,On-time
S223604,O523604,2024-01-01,2024-01-04 00:00:00.000000000,2024-01-08 06:10:18.023543725,WH-SAO,Sao Paulo,LATAM,UPS,Beauty,3.0,4.26,7.26,19.71,Late
S221403,O521403,2024-01-01,2024-01-02 06:14:24.000000000,2024-01-04 10:06:15.860106259,WH-NYC,New York,North America,Local,Sports,1.26,2.16,3.42,6.86,On-time
S216426,O516426,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-09 22:50:33.146583973,WH-SIN,Singapore,APAC,USPS,Apparel,2.0,6.95,8.95,18.74,Late
S214340,O514340,2024-01-01,2024-01-04 11:02:24.000000000,2024-01-07 22:08:22.013555352,WH-SAO,Sao Paulo,LATAM,FedEx,Beauty,3.46,3.46,6.92,19.18,On-time
S201651,O501651,2024-01-01,2024-01-03 08:38:24.000000000,2024-01-07 02:48:47.676244138,WH-LON,London,Europe,Local,Beauty,2.36,3.76,6.12,9.97,On-time
S214823,O514823,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-06 04:48:01.350173102,WH-AMS,Amsterdam,Europe,USPS,Electronics,2.0,3.2,5.2,9.89,On-time
S221660,O521660,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 05:46:20.168393534,WH-LAX,Los Angeles,North America,DHL,Home,1.0,2.24,3.24,11.41,On-time
S212926,O512926,2024-01-01,2024-01-04 00:00:00.000000000,2024-01-07 21:59:10.654062095,WH-SAO,Sao Paulo,LATAM,UPS,Beauty,3.0,3.92,6.92,18.17,On-time
S201733,O501733,2024-01-01,2024-01-03 05:16:48.000000000,2024-01-04 22:19:43.090964633,WH-AMS,Amsterdam,Europe,UPS,Beauty,2.22,1.71,3.93,11.51,On-time
S214280,O514280,2024-01-01,2024-01-03 04:48:00.000000000,2024-01-05 05:38:26.724440503,WH-AMS,Amsterdam,Europe,FedEx,Sports,2.2,2.04,4.24,10.65,On-time
S200119,O500119,2024-01-01,2024-01-03 14:24:00.000000000,2024-01-05 15:05:35.576960899,WH-AMS,Amsterdam,Europe,FedEx,Home,2.6,2.03,4.63,11.84,On-time
S200851,O500851,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-05 14:30:14.437826029,WH-AMS,Amsterdam,Europe,FedEx,Beauty,2.0,2.6,4.6,13.93,On-time
S214988,O514988,2024-01-01,2024-01-02 00:43:12.000000000,2024-01-03 19:54:10.945445313,WH-NYC,New York,North America,FedEx,Sports,1.03,1.8,2.83,13.34,On-time
S223645,O523645,2024-01-01,2024-01-03 18:57:36.000000000,2024-01-09 19:49:41.205863449,WH-SIN,Singapore,APAC,USPS,Home,2.79,6.04,8.83,18.84,Late
S213148,O513148,2024-01-01,2024-01-02 00:00:00.000000000,2024-01-04 01:26:33.093778433,WH-NYC,New York,North America,FedEx,Electronics,1.0,2.06,3.06,10.52,On-time
S209457,O509457,2024-01-01,2024-01-03 00:00:00.000000000,2024-01-07 15:37:33.803058884,WH-SIN,Singapore,APAC,FedEx,Electronics,2.0,4.65,6.65,18.4,On-time
S221714,O521714,2024-01-01,2024-01-03 03:07:12.000000000,2024-01-04 22:25:02.553867379,WH-LON,London,Europe,FedEx,Sports,2.13,1.8,3.93,11.96,On-time
S210350,O510350,2024-01-01,2024-01-02 11:16:48.000000000,2024-01-04 23:06:47.042920307,WH-LAX,Los Angeles,North America,UPS,Home,1.47,2.49,3.96,13.01,On-time
S200367,O500367,2024-01-01,2024-01-05 20:01:36.714346573,2024-01-09 12:05:11.346267816,WH-SIN,Singapore,APAC,DHL,Electronics,4.83,3.67,8.5,16.79,Late
